date, pm25, pm10, o3, no2, so2, co
1/1/2014, ,85,21,30,14,20
1/2/2014,125,136,6,44,46,40
1/3/2014,218,79,23,21,15,22
1/4/2014,127,109,4,37,26,32
1/5/2014,213,74,16,32,24,24
1/6/2014,168,91,5,33,31,23
1/7/2014,204,69,16,28,22,23
1/8/2014,178,17,23,8,7,12
1/9/2014,65,42,24,14,9,13
1/10/2014,92,77,6,34,32,23
1/11/2014,160,120,3,49,47,34
1/12/2014,218,36,23,17,12,12
1/13/2014,76,97,6,40,43,29
1/14/2014,190,94,6,39,47,30
1/15/2014,190,162,7,47,47,37
1/16/2014,249,340,8,59,58,47
1/17/2014,466,88,15,31,33,24
1/18/2014,228,57,15,32,22,19
1/19/2014,134,125,17,34,40,28
1/20/2014,185,30,25,8,3,11
1/21/2014,42,36,20,21,18,17
1/22/2014,95,102,7,44,46,27
1/23/2014,211,173,3,57,66,41
1/24/2014,339,103,7,39,39,26
1/25/2014,221,37,26,19,13,16
1/26/2014,98,58,21,19,22,15
1/27/2014,122,83,20,29,34,19
1/28/2014,157,54,25,16,13,15
1/29/2014,109,97,8,31,39,26
1/30/2014,208,62,27,16,20,17
1/31/2014,126,132,15,18,38,17
2/1/2014,220,95,3,24,35,22
2/2/2014,211,73,30,11,12,20
2/3/2014,117,30,29,4,4,18
2/4/2014,31,29,28,9,10,19
2/5/2014,63,74,20,17,28,18
2/6/2014,175,88,17,25,36,26
2/7/2014,202,57,16,19,21,14
2/8/2014,175,28,28,13,12,17
2/9/2014,108,9,27,9,10, 
2/10/2014,51,18,24,16,12,18
2/11/2014,74,77,13,38,38,24
2/12/2014,192,83,25,36,30,24
2/13/2014,205,116,19,35,44,29
2/14/2014,261,186,13,43,43,36
2/15/2014,332,324,14,50,57,39
2/16/2014,408,173,25,40,46,31
2/17/2014,322,56,28,27,38,21
2/18/2014,161,54,22,25,22,12
2/19/2014,148,57,24,27,22,17
2/20/2014,140,143,7,38,24,23
2/21/2014,302,165,9,45,39,33
2/22/2014,378,170,7,44,53,35
2/23/2014,387,154,6,39,69,39
2/24/2014,338,216,6,61,71,49
2/25/2014,398,301,3,64,50,58
2/26/2014,462,262,10,63,44,30
2/27/2014,421,23,32,11,5,10
2/28/2014,67,65,18,30,21,16
3/1/2014,169,61,31,26,16,21
3/2/2014,142,111,17,41,38,29
3/3/2014,208,155,5,45,57,46
3/4/2014,295,55,30,16,14,24
3/5/2014,95,28,26,19,9,11
3/6/2014,78,22,31,12,5,18
3/7/2014,62,55,25,22,12,16
3/8/2014,131,118,15,44,40,26
3/9/2014,227,90,28,34,26,21
3/10/2014,188,80,19,34,31,22
3/11/2014,173,125,38,41,42,30
3/12/2014,253,20,42,13,4,18
3/13/2014,61,47,37,19,6,12
3/14/2014,73,56,38,15,6,17
3/15/2014,72,109,26,48,26,16
3/16/2014,180,113,42,37,44,31
3/17/2014,188,141,30,28,14,20
3/18/2014,145,79,38,19,9,13
3/19/2014,106,67,34,25,10,12
3/20/2014,134,26,37,10,2,9
3/21/2014,42,45,41,21,6,16
3/22/2014,78,86,44,28,9,13
3/23/2014,131,111,74,37,24,20
3/24/2014,207,141,47,51,30,23
3/25/2014,293,136,73,53,25,21
3/26/2014,278,189,63,61,29,23
3/27/2014,354,196,6,61,21,29
3/28/2014,321,108,40,33,15,21
3/29/2014,207,68,43,15,4,16
3/30/2014,103,59,44,21,3,10
3/31/2014,93,117,40,34,19,23
4/1/2014,206,84,57,33,8,9
4/2/2014,201,107,66,27,13,14
4/3/2014,178,61,41,19,4, 
4/4/2014,78,91,45,20,5,11
4/5/2014,95,67,44,15,4, 
4/6/2014,75,96,48,30,6,12
4/7/2014,138,108,77,26,12,16
4/8/2014,169,139,93,39,22,20
4/9/2014,221,134,49,24,13,14
4/10/2014,205,275,27,22,16,18
4/11/2014,171,79,40,25,11,16
4/12/2014,141,99,61,35,16,20
4/13/2014,183,116,98,32,15, 
4/14/2014,206,147,94,39,19,22
4/15/2014,300,79,38,29,10,12
4/16/2014,151,79,34,32,6,13
4/17/2014,144,85,42,35,13,18
4/18/2014,182,85,52,26,10,17
4/19/2014,203,58,33,32,10,12
4/20/2014,150,55,45,26,4,13
,,,,,,
