date, pm25, pm10, o3, no2, so2, co
1/1/2014, ,151,10,38,10,14
1/2/2014,220,155,13,44,18,18
1/3/2014,242,157,24,50,25,22
1/4/2014,217,213,27,62,29,27
1/5/2014,189,169,21,59,38,16
1/6/2014,218,134,17,41,29,14
1/7/2014,189,70,25,33,11,9
1/8/2014,152,74,28,35,14,9
1/9/2014,116,98,25,36,14,11
1/10/2014,161,90,17,32,19,10
1/11/2014,168,85,21,36,15,12
1/12/2014,158,111,31,34,18,13
1/13/2014,132,103,35,38,12,13
1/14/2014,154,158,9,50,33,18
1/15/2014,187,145,9,51,23,16
1/16/2014,203,171,28,54,25,18
1/17/2014,225,192,12,56,25,18
1/18/2014,224,211,7,37,27,20
1/19/2014,263,97,30,33,19,12
1/20/2014,177,90,28,42,13,15
1/21/2014,132,120,38,45,22,14
1/22/2014,173,210,20,70,26,22
1/23/2014,220,218,26,71,39,20
1/24/2014,268,186,10,66,30,21
1/25/2014,238,170,12,60,24,23
1/26/2014,230,169,37,54,23,18
1/27/2014,250,239,16,40,17,18
1/28/2014,326,273,27,40,16,20
1/29/2014,321,224,23,35,12,16
1/30/2014,313,237,15,33,10,15
1/31/2014,332,451,18,27,14,16
2/1/2014,415,131,32,30,10,15
2/2/2014,199,130,37,34,14,16
2/3/2014,184,122,34,33,14,13
2/4/2014,187,188,33,51,26,25
2/5/2014,195,76,26,18,10,12
2/6/2014,152,50,20,17,10,10
2/7/2014,80,59,23,21,12,9
2/8/2014,102,76,21,23,21,9
2/9/2014,150,57,29,18,11,8
2/10/2014,119,74,30,23,12,10
2/11/2014,158,82,18,29,11,11
2/12/2014,164,94,25,28,13,13
2/13/2014,169,113,32,36,12,15
2/14/2014,183,119,30,40,20,14
2/15/2014,180,111,24,36,22,13
2/16/2014,203,123,16,42,17,16
2/17/2014,196,100,27,31,21,12
2/18/2014,174,80,29,35,11,15
2/19/2014,163,95,31,36,17,13
2/20/2014,170,141,26,43,30,19
2/21/2014,203,131,11,50,29,18
2/22/2014,200,153,29,47,24,18
2/23/2014,220,155,31,45,31,18
2/24/2014,211,120,37,40,20,13
2/25/2014,188,105,16,38,18,13
2/26/2014,178,97,15,38,26,14
2/27/2014,164,74,20,38,17,11
2/28/2014,107,83,11,43,19,11
3/1/2014,129,66,20,34,20,9
3/2/2014,116,109,22,39,18,11
3/3/2014,127,75,13,36,19,11
3/4/2014,124,175,28,43,20,18
3/5/2014,122,83, ,38,16,11
3/6/2014,143,55, ,31,12,11
3/7/2014,130,72, ,31,14,14
3/8/2014,140,48, ,32,8,11
3/9/2014,88,88, ,42,13,19
3/10/2014,159,104, ,40,19,14
3/11/2014,176,92, ,44,22,13
3/12/2014,176,104, ,43,17,11
3/13/2014,164,127, ,41,13,12
3/14/2014,144,101, ,40,7,10
3/15/2014,114,85, ,36,15,9
3/16/2014,153,136,75,46,30,14
3/17/2014,189,116,64,46,23,13
3/18/2014,191,123,45,64,16,13
3/19/2014,188,127,58,59,28,12
3/20/2014,196,98,31,39,8,7
3/21/2014,126,69,29,25,9,7
3/22/2014,110,59,15,28,8,8
3/23/2014,133,67,18,33,8,9
3/24/2014,158,95,25,45,14,11
3/25/2014,172,120,33,53,19,16
3/26/2014,187,139,38,51,21,18
3/27/2014,218,133,42,58,22,17
3/28/2014,207,125,56,55,19,14
3/29/2014,220,152,30,63,25,20
3/30/2014,207,86,33,30,15,9
3/31/2014,166,48,33,25,8,6
4/1/2014,104,55,34,32,6,7
4/2/2014,101,90,52,37,12,10
4/3/2014,132,103,28,45,16,11
4/4/2014,158,138,38,42,20,12
4/5/2014,143,64,25,35,10,8
4/6/2014,144,74,56,30,8,10
4/7/2014,158,99,35,39,10,10
4/8/2014,160,131,40,57,19,20
4/9/2014,197,106,57,46,16,21
4/10/2014,173,85,34,33,15,10
4/11/2014,180,53,25,27,6,7
4/12/2014,106,77,98,34,8,8
4/13/2014,116,85,79,41,12,10
4/14/2014,141,97,36,31,13,10
4/15/2014,149,60,44,23,21,8
4/16/2014,158,79,83,31,38,10
4/17/2014,151,86,49,35,11,11
4/18/2014,146,72,50,22,10,8
4/19/2014,112,54,89,21,5,6
4/20/2014,69,74,35,33,6,8
,,,,,,
1/1/2015, ,126,8,33,6,13
1/2/2015,218,142,5,32,11,13
1/3/2015,238,140,17,33,4,16
1/4/2015,227,147,2,40,9,16
1/5/2015,239,113,17,35,13,19
1/6/2015,201,64,23,32,4,8
1/7/2015,120,86,17,32,8,9
1/8/2015,159,82,14,30,4,9
1/9/2015,170,93,7,34,6,12
1/10/2015,177,88,8,31,2,12
1/11/2015,172,115,11,27,8,11
1/12/2015,198,106,19,40,12,15
1/13/2015,192,172,3,37,12,22
1/14/2015,260,152,4,39,19,17
1/15/2015,257,187,3,37,16,20
1/16/2015,300,104,23,32,10,13
1/17/2015,190,154,4,35,18,17
1/18/2015,228,83,24,25,9,10
1/19/2015,168,134,14,35,17,15
1/20/2015,194,139,18,40,16,15
1/21/2015,222,165,33,54,9,25
1/22/2015,236,195,16,50,19,23
1/23/2015,247,218,3,54,20,25
1/24/2015,268,145,9,46,18,17
1/25/2015,224,167,15,43,16,22
1/26/2015,229,132,8,36,23,16
1/27/2015,209,127,5,35,17,17
1/28/2015,222,44,9,20,5,13
1/29/2015,109,53,10,27,6,12
1/30/2015,126,75,12,28,11,12
1/31/2015,155,51,9,22,3,10
2/1/2015,128,55,2,22,4,12
2/2/2015,140,67,7,27,11,15
2/3/2015,164,84,5,28,8,13
2/4/2015,180,92,8,33,10,14
2/5/2015,179,92,9,30,10,11
2/6/2015,167,110,5,34,9,13
2/7/2015,193,85,9,29,12,11
2/8/2015,175,93,5,34,7,12
2/9/2015,174,122,5,33,16,13
2/10/2015,200,130,4,37,11,15
2/11/2015,211,127,6,37,6,15
2/12/2015,220,146,11,51,8,22
2/13/2015,204,133,23,46,7,18
2/14/2015,226,147,48,41,11,17
2/15/2015,227,120,40,36,9,15
2/16/2015,206,94,41,28,5,9
2/17/2015,152,103,60,25,9,11
2/18/2015,173,91,44,20,9,10
2/19/2015,170,102,23,15,11,11
2/20/2015,191,56,27,16,6,12
2/21/2015,148,69,24,23,4,15
2/22/2015,162,53,34,13,4,9
2/23/2015,115,42,32,13,8,10
2/24/2015,103,49,21,18,6,11
2/25/2015,132,46,36,19,5,11
2/26/2015,112,51,23,20,7,11
2/27/2015,106,51,12,20,8,12
2/28/2015,123,40,21,18,7,12
3/1/2015,94,70,40,24,5,11
3/2/2015,127,74,34,26,15,12
3/3/2015,143,101,31,24,7,6
3/4/2015,157,82,24,22,3,7
3/5/2015,140,50,17,21,4,6
3/6/2015,125,87,21,27,7,9
3/7/2015,159,104,13,27,11,10
3/8/2015,179,87,40,32,8,12
3/9/2015,160,122,38,50,15,26
3/10/2015,175,87,21,36,10,9
3/11/2015,166,64,41,24,5,7
3/12/2015,154,95,27,38,10,11
3/13/2015,173,89,47,42,7,13
