date, pm25, pm10, o3, no2, so2, co
1/1/2014, ,104,14,63,14,20
1/2/2014,166,115,11,76,11,24
1/3/2014,185,133,13,61,12,21
1/4/2014,192,108,22,42,16,16
1/5/2014,184,100,23,54,15,14
1/6/2014,175,120,23,53,19,16
1/7/2014,208,83,12,47,11,16
1/8/2014,163,109,3,33,8,22
1/9/2014,167,59,11,24,8,13
1/10/2014,130,67,18,31,8,12
1/11/2014,156,98,10,50,10,16
1/12/2014,176,84,13,30,10,17
1/13/2014,163,57,14,21,7,11
1/14/2014,107,50,30,26,7,9
1/15/2014,113,72,31,38,9,10
1/16/2014,155,99,23,58,11,17
1/17/2014,171,103,18,52,12,19
1/18/2014,177,78,32,38,12,11
1/19/2014,154,94,42,52,15,13
1/20/2014,172,104,31,54,13,16
1/21/2014,170,85,36,35,14,10
1/22/2014,148,64,30,37,8,10
1/23/2014,128,96,18,59,16,15
1/24/2014,167,66,20,45,11,10
1/25/2014,138,79,8,51,7,16
1/26/2014,151,94,11,41,7,15
1/27/2014,159,91,46,26,8,10
1/28/2014,169,75,44,34,10,8
1/29/2014,161,105,41,47,9,12
1/30/2014,170,86,43,40,9,10
1/31/2014,162,114,39,36,9,11
2/1/2014,189,53,29,22,6,5
2/2/2014,123,60,29,24,11,6
2/3/2014,116,59,26,24,5,7
2/4/2014,128,58,34,19,5,6
2/5/2014,133,46,30,13,4,5
2/6/2014,95,41,24,17,5,6
2/7/2014,90,40,16,14,5,6
2/8/2014,92,31,10,11,1,8
2/9/2014,66,16,9,11,1,8
2/10/2014,38,37,23,15,5,7
2/11/2014,89,51,28,17,6,6
2/12/2014,116,57,26,19,4,6
2/13/2014,136,41,13,18,3,7
2/14/2014,100,55,23,20,4,6
2/15/2014,128,58,21,26,4,5
2/16/2014,130,67,11,29,7,9
2/17/2014,156,125,12,40,13,17
2/18/2014,197,51,8,21,6,11
2/19/2014,105,31,12,22,4,9
2/20/2014,68,55,27,35,6,9
2/21/2014,108,85,24,53,15,14
2/22/2014,157,71,17,40,7,13
2/23/2014,153,68,62,37,8,9
2/24/2014,152,66,26,43,11,8
2/25/2014,139,72,17,49,11,12
2/26/2014,122,84,16,44,9,17
2/27/2014,145,59,38,32,9,12
2/28/2014,116,56,33,36,21,9
3/1/2014,130,58,33,34,8,12
3/2/2014,127,38,27,24,6,16
3/3/2014,94,58,26,26,5,18
3/4/2014,141,69,26,29,6,16
3/5/2014,142,44,29,27,6,15
3/6/2014,79,69,26,36,9,15
3/7/2014,157,40,14,22,2,10
3/8/2014,86,55,12,22,5,11
3/9/2014,120,35,17,21,3,8
3/10/2014,69,51,15,25,6,9
3/11/2014,96,66, ,30,5,13
3/12/2014,131,164, ,47,9,34
3/13/2014,231,64, ,30,6,14
3/14/2014,105,70,28,35,9,11
3/15/2014,136,75,17,36,8,9
3/16/2014,150,104,15,38,12,12
3/17/2014,173,149,14,54,16,19
3/18/2014,183,101,21,38,9,16
3/19/2014,145,79,25,32,10,11
3/20/2014,140,90,15,38,10,14
3/21/2014,146,62,35,21,6,8
