date, pm25, pm10, o3, no2, so2, co
1/1/2014, ,74,45,74,17,9
1/2/2014,159,66,36,81,9,8
1/3/2014,152,83,30,92,24,12
1/4/2014,156,90,42,96,18,11
1/5/2014,173,87,65,60,16,9
1/6/2014,170,88,56,60,12,8
1/7/2014,170,56,33,50,6,5
1/8/2014,107,70,13,72,11,10
1/9/2014,126,53,18,59,9,12
1/10/2014,122,62,24,42,8,9
1/11/2014,144,53,27,46,8,5
1/12/2014,117,66,42,76,14,8
1/13/2014,138,50,15,57,8,9
1/14/2014,104,49,24,67,7,9
1/15/2014,112,47,31,60,8,6
1/16/2014,105,55,37,57,7,5
1/17/2014,107,70,31,78,18,7
1/18/2014,134,65,38,83,12,7
1/19/2014,146,77,45,51,10,7
1/20/2014,163,79,39,95,14,10
1/21/2014,165,78,42,83,15,6
1/22/2014,155,84,35,80,16,7
1/23/2014,161,70,41,66,9,7
1/24/2014,142,48,29,53,6,5
1/25/2014,97,39,27,53,6,5
1/26/2014,79,57,48,54,8,7
1/27/2014,114,62,41,47,6,6
1/28/2014,130,54,30,59,7,6
1/29/2014,105,44,29,61,6,7
1/30/2014,91,56,16,85,15,9
1/31/2014,124,57,34,68,11,8
2/1/2014,141,53,24,52,7,6
2/2/2014,119,42,23,59,17,7
2/3/2014,97,50,25,68,36,8
2/4/2014,122,52,29,44,10,8
2/5/2014,115,27,25,33,5,6
2/6/2014,68,19,19,42,4,6
2/7/2014,54,33,10,56,12,7
2/8/2014,83,46,5,34,8,9
2/9/2014,114,25,18,31,4,6
2/10/2014,59,31,12,48,5,9
2/11/2014,77,46,12,50,5,8
2/12/2014,111,54,12,50,5,8
2/13/2014,133,30,11,49,5,8
2/14/2014,79,49,19,59,6,8
2/15/2014,120,46,18,43,5,7
2/16/2014,113,55,26,33,6,5
2/17/2014,124,55,15,49,6,7
2/18/2014,126,64,5,61,13,12
2/19/2014,126,25,14,57,6,9
2/20/2014,60,38,22,57,6,7
2/21/2014,73,53,37,41,6,6
2/22/2014,100,52,41,38,6,5
2/23/2014,105,45,38,30,5,4
2/24/2014,95,40,30,44,4,5
2/25/2014,79,48,28,46,4,6
2/26/2014,101,50,23,61,14,8
2/27/2014,110,43,19,43,4,6
2/28/2014,95,48,30,44,3,7
3/1/2014,96,58,20,49,5,8
3/2/2014,119,49,22,41,8,9
3/3/2014,112,38,34,36,3,7
3/4/2014,79,64,33,52,6,9
3/5/2014,136,55,22,46,6,10
3/6/2014,116,53,37,40,3,6
3/7/2014,104,40,22,32,3,6
3/8/2014,85,44,20,39,2,7
3/9/2014,98,25,7,35,3,8
3/10/2014,59,40,30,33,3,7
3/11/2014,87,68,33,40,5,7
3/12/2014,146,82,21,52,8,10
