date, pm25, pm10, o3, no2, so2, co
1/1/2014, ,121,29,57,30,14
1/2/2014,188,92,24,54,18,14
1/3/2014,170,105,21,55,32,12
1/4/2014,191,94,18,36,19,9
1/5/2014,176,53,13,37,14,8
1/6/2014,116,36,29,28,11,8
1/7/2014,83,48,28,34,7,7
1/8/2014,120,39,28,22,10,7
1/9/2014,106,52,26,16,10,5
1/10/2014,97,62,29,25,14,7
1/11/2014,120,51,27,24,9,6
1/12/2014,127,66,31,26,14,7
1/13/2014,152,46,27,19,13,6
1/14/2014,104,25,27,19,12,8
1/15/2014,76,34,30,20,9,4
1/16/2014,94,69,30,35,13,10
1/17/2014,156,79,15,46,21,13
1/18/2014,169,112,30,29,22,10
1/19/2014,207,89,34,36,19,10
1/20/2014,179,149,19,40,34,15
1/21/2014,226,73,26,21,17,6
1/22/2014,122,57,18,31,17,8
1/23/2014,132,41,27,24,10,5
1/24/2014,114,35,29,23,11,4
1/25/2014,95,79,29,27,13,7
1/26/2014,154,45,33,13,9,5
1/27/2014,89,26,30,22,6,4
1/28/2014,69,52,30,23,14,7
1/29/2014,127,57,28,25,7,6
1/30/2014,141,127,34,28,13,13
1/31/2014,230,107,49,13,9,9
2/1/2014,201,58,41,21,7,6
2/2/2014,140,132,24,21,7,16
2/3/2014,236,59,31,10,6,6
2/4/2014,124,38,34,6,8,3
2/5/2014,75,21,31,10,7,6
2/6/2014,64,10,26,11,4,5
2/7/2014,55,16,29,13,7,6
2/8/2014,61,41,30,12,9,6
2/9/2014,121,49,31,12,9,5
2/10/2014,126,31,28,13,5,5
2/11/2014,95,37,27,15,9,5
2/12/2014,111,30,29,19,8,6
2/13/2014,92,29,31,12,7,4
2/14/2014,84,50,35,18,8,5
2/15/2014,112,30,32,17,8,5
2/16/2014,84,23,27,22,4,3
2/17/2014,76,27,24,24,6,5
2/18/2014,95,24,33,14,3,5
2/19/2014,80,51,23,26,15,9
2/20/2014,134,96,33,37,29,11
2/21/2014,184,68,46,30,15,7
2/22/2014,159,53,38,20,7,5
2/23/2014,141,73,46,24,12,6
2/24/2014,163,70,30,32,6,7
2/25/2014,157,20,35,17,7,4
2/26/2014,73,40,33,27,3,7
2/27/2014,117,76,19,43,15,10
2/28/2014,166,71,30,23,4,8
3/1/2014,159,31,26,21,4,4
3/2/2014,88,59,42,22,10,6
3/3/2014,134,53,40,19,8,5
3/4/2014,100,35,24,26,5,5
3/5/2014,80,46,37,16,8,5
3/6/2014,107,35,32,16,6,5
3/7/2014,73,32,36,18,6,4
3/8/2014,79,50,42,19,6,5
3/9/2014,115,70,32,38,14,8
3/10/2014,155,112,43,43,17,10
3/11/2014,189,56,47,20,8,4
3/12/2014,128,40,27,25,5,6
3/13/2014,92,50,32,20,11,6
3/14/2014,105,76,37,40,19,7
3/15/2014,157,83,61,37,16,6
3/16/2014,156,79,59,33,11,6
3/17/2014,147,78,50,37,13,11
3/18/2014,155,121,61,49,17,11
3/19/2014,182,118,35,24,7,6
3/20/2014,157,67,43,21,9,6
3/21/2014,144,52,39,23,8,4
3/22/2014,86,60,54,30,8,4
3/23/2014,117,51,43,22,5,3
3/24/2014,93,47,38,23,6,4
3/25/2014,101,59,23,39,10,7
3/26/2014,140,72,35,35,12,10
3/27/2014,163,44,39,28,4,4
3/28/2014,113,38,38,22,5,6
3/29/2014,110,60,18,36,6,10
3/30/2014,153,78,52,27,13,8
3/31/2014,169,57,44,26,6,5
4/1/2014,143,52,42,22,5,5
4/2/2014,126,51,35,27,5,5
4/3/2014,125,51,56,23,6,4
4/4/2014,130,62,48,25,12,5
4/5/2014,118,76,44,31,12,6
4/6/2014,130,44,41,16,5,3
4/7/2014,70,44,44,19,5,5
4/8/2014,101,61,38,34,10,6
4/9/2014,145,64,52,25,5,5
4/10/2014,154,65,65,31,6,5
4/11/2014,143,60,44,21,4,4
4/12/2014,136,45,32,25,4,6
4/13/2014,120,42,45,15,4,5
4/14/2014,116,63,58,30,6,6
4/15/2014,152,54,56,25,5,4
4/16/2014,119,45,41,27,4,5
4/17/2014,109,104,11,47,13,12
4/18/2014,190,63,43,26,10,7
4/19/2014,140,26,41,15,3,5
4/20/2014,81,47,42,15,3,4
,,,,,,
1/1/2015, ,55,24,20,16,7
1/2/2015,126,73,16,41,27,11
1/3/2015,163,89,20,44,20,11
1/4/2015,173,100,15,68,23,14
1/5/2015,187,74,20,50,13,8
1/6/2015,158,78,24,24,11,9
1/7/2015,147,44,27,21,11,6
1/8/2015,111,64,23,35,22,10
1/9/2015,157,116,18,65,28,17
1/10/2015,205,130,24,70,30,19
1/11/2015,222,136,34,57,37,16
1/12/2015,245,29,26,16,8,6
1/13/2015,76,24,22,24,7,5
1/14/2015,74,19,22,21,6,6
1/15/2015,81,58,14,26,9,8
1/16/2015,162,84,14,32,13,11
1/17/2015,182,66,25,18,11,8
1/18/2015,151,71,26,38,13,9
1/19/2015,147,105,24,40,21,11
1/20/2015,164,62,30,29,9,6
1/21/2015,103,90,25,39,16,9
1/22/2015,172,90,11,28,16,13
1/23/2015,191,82,31,35,13,10
1/24/2015,181,87,32,42,11,10
1/25/2015,178,97,26,40,8,12
1/26/2015,188,86,20,30,9,10
1/27/2015,181,51,30,17,9,7
1/28/2015,125,28,24,18,9,5
1/29/2015,78,15,22,24,7,5
1/30/2015,68,58,24,21,10,7
1/31/2015,153,40,28,22,13,6
2/1/2015,110,31,24,23,14,5
2/2/2015,80,30,18,28,8,6
2/3/2015,92,43,15,37,11,5
2/4/2015,118,113,31,38,29,12
2/5/2015,229,78,30,31,19,10
2/6/2015,177,66,24,45,16,10
2/7/2015,160,82,29,51,16,12
2/8/2015,178,53,32,15,11,8
2/9/2015,113,35,30,19,9,6
2/10/2015,99,53,33,35,11,8
2/11/2015,146,66,39,41,12,9
2/12/2015,158,123,33,36,23,14
2/13/2015,222,47,47,24,9,6
2/14/2015,131,58,59,20,8,6
2/15/2015,137,58,35,29,7,8
2/16/2015,142,83,26,20,7,12
2/17/2015,179,105,45,24,9,12
2/18/2015,188,79,41,19,10,8
2/19/2015,143,30,38,9,8,4
2/20/2015,76,20,36,7,6,5
2/21/2015,68,48,23,13,6,8
2/22/2015,131,90,26,15,7,10
2/23/2015,186,92,38,12,8,7
2/24/2015,138,77,38,13,6,7
2/25/2015,127,31,33,21,6,6
2/26/2015,83,52,34,15,6,7
2/27/2015,127,32,36,15,6,6
2/28/2015,80,16,28,17,5,5
3/1/2015,68,60,35,19,10,9
3/2/2015,152,82,54,27,10,9
3/3/2015,177,70,36,20,8,8
3/4/2015,158,44,33,12,8,6
3/5/2015,78,33,32,13,7,5
3/6/2015,71,34,31,18,7,6
3/7/2015,91,34,40,20,8,6
3/8/2015,102,29,24,26,6,7
3/9/2015,88,40,36,14,6,7
3/10/2015,109,37,35,13,7,6
3/11/2015,78,52,35,34,11,7
3/12/2015,123,70,66,34,9,9
3/13/2015,155,88,49,44,11,11
3/14/2015,167,84,43,28,9,12
3/15/2015,174,51,46,16,9,10
3/16/2015,139,31,37,17,11,9
3/17/2015,94,38,38,20,6,8
3/18/2015,102,51,21,23,7,10
3/19/2015,130,65,33,24,10,10
3/20/2015,155,59,37,27,5,7
3/21/2015,151,81,41,38,9,11
3/22/2015,167,86,44,31,9,9
3/23/2015,132,73,30,17,7,5
3/24/2015,79,37,41,14,6,5
3/25/2015,61,36,44,14,7,5
3/26/2015,70,40,51,13,5,5
3/27/2015,79,30,44,18,4,5
3/28/2015,89,68,65,36,7,9
3/29/2015,153,75,80,30,10,9
3/30/2015,163,43,48,17,5,7
3/31/2015,108,65,71,26,6,10
4/1/2015,135,59,29,34,6,8
4/2/2015,125,57,48,19,6,5
4/3/2015,98,61,34,18,5,10
4/4/2015,148,58,36,21,6,11
4/5/2015,126,55,35,20,5,9
4/6/2015,136,24,37,10,6,5
4/7/2015,64,35,36,9,5,4
4/8/2015,79,35,43,16,6,4
4/9/2015,91,39,48,20,6,5
4/10/2015,82,50,51,25,7,5
4/11/2015,120,52,60,23,7,5
4/12/2015,119,62,68,22,7,5
4/13/2015,135,58,41,16,8,5
4/14/2015,127,60,46,26,8,7
4/15/2015,148,84,64,55,10,7
4/16/2015,155,92,46,46,11,8
4/17/2015,152,93,46,21,6,5
4/18/2015,96,77,40,28,7,7
4/19/2015,142,105,27,43,8,11
4/20/2015,182,56,44,19,8,6
,,,,,,
1/1/2016,205, , , , , 
1/4/2016,195,94,33,36,13,12
1/5/2016,186,30,40,10,6,6
1/6/2016,90,48,32,12,8,8
1/7/2016,135,64,21,22,12,9
1/8/2016,163,60,27,20,16,9
1/9/2016,153,85,36,38,21,11
