date, pm25, pm10, o3, no2, so2, co
1/1/2014, ,151,21,69,40,22
1/2/2014,233,216,13,70,49,28
1/3/2014,252,173,29,52,51,22
1/4/2014,268,129,28,50,45,21
1/5/2014,189,164,40,59,49,26
1/6/2014,252,174,34,49,44,27
1/7/2014,274,144,34,33,12,30
1/8/2014,335,119,35,33,51,29
1/9/2014,278,163,24,45,46,32
1/10/2014,321,100,31,38,39,19
1/11/2014,245,67,38,30,22,13
1/12/2014,178,113,48,35,30,17
1/13/2014,233,189,16,54,45,25
1/14/2014,344,167,35,49,40,25
1/15/2014,305,125,41,40,35,18
1/16/2014,242,114,29,57,46,18
1/17/2014,199,176,36,57,40,21
1/18/2014,330,170,46,50,50,23
1/19/2014,317,163,37,59,48,21
1/20/2014,290,140,46,45,31,17
1/21/2014,241,111,45,41,35,15
1/22/2014,171,109,24,46,39,16
1/23/2014,182,106,38,47,51,16
1/24/2014,184,131,51,56,50,22
1/25/2014,205,197,47,50,52,27
1/26/2014,330,178,49,57,49,30
1/27/2014,387,138,39,43,38,23
1/28/2014,303,163,43,46,25,23
1/29/2014,374,152,35,30,17,19
1/30/2014,396,97,52,42,28,27
1/31/2014,246,146,59,41,44,23
2/1/2014,284,129,47,33,17,17
2/2/2014,271,153,32,38,18,27
2/3/2014,301,107,15,24,14,25
2/4/2014,242,38,38,15,10,9
2/5/2014,146,27,37,14,8,7
2/6/2014,135,19,28,14,7,7
2/7/2014,122,31,34,16,9,8
2/8/2014,132,48,44,13,9,9
2/9/2014,159,71,46,13,18,11
2/10/2014,187,59,48,16,23,10
2/11/2014,171,68,47,25,25,13
2/12/2014,176,63,46,26,18,11
2/13/2014,166,63,44,20,16,9
2/14/2014,180,65,46,33,19,12
2/15/2014,175,79,43,31,34,13
2/16/2014,184,74,24,35,22,12
2/17/2014,183,60,27,20,15,12
2/18/2014,179,20,45,17,13,7
2/19/2014,133,54,44,33,14,10
2/20/2014,147,88,56,37,39,15
2/21/2014,177,91,44,40,34,15
2/22/2014,170,116,38,50,35,17
2/23/2014,176,142,33,46,22,17
2/24/2014,233,91,24,36,18,17
2/25/2014,211,46,27,23,16,12
2/26/2014,276,63,23,30,22,13
2/27/2014,167,73,37,30,14,13
2/28/2014,168,23,26,20,7,12
3/1/2014,120,39,31,19,9,9
3/2/2014,138,74,33,26,12,11
3/3/2014,185,88,39,34,21,14
3/4/2014,192,84,54,39,25,13
3/5/2014,185,86,76,37,20,13
3/6/2014,175,75,63,30,15,10
3/7/2014,175,54,43,28,26,10
3/8/2014,152,71,53,32,22,11
3/9/2014,166,97,52,47,23,14
3/10/2014,187,91,69,37,36,12
3/11/2014,174,87,33,38,38,12
3/12/2014,167,120,34,24,27,11
3/13/2014,185,81,50,25,22,8
3/14/2014,156,103,59,46,19,12
3/15/2014,171,105,66,45,21,12
3/16/2014,169,138,54,52,26,16
3/17/2014,192,153,74,46,34,14
3/18/2014,182,141,45,52,44,16
3/19/2014,185,132,52,22,19,11
3/20/2014,191,80,58,24,15,8
3/21/2014,167,87,59,38,24,12
3/22/2014,161,118,53,57,35,16
3/23/2014,186,121,9,58,38,18
3/24/2014,196,98,30,41,26,14
3/25/2014,190,78,66,34,18,16
3/26/2014,179,104,63,49,36,19
3/27/2014,186,97,91,42,43,14
3/28/2014,173,74,70,42,30,11
3/29/2014,148,115,105,33,21,11
3/30/2014,168,136,87,42,34,13
3/31/2014,178,82,46,36,20,8
4/1/2014,157,78,60,44,28,14
4/2/2014,149,120,87,55,32,14
4/3/2014,180,129,108,48,15,11
4/4/2014,175,136,110,37,25,13
4/5/2014,200,162,88,64,16,15
4/6/2014,226,93,54,34,28,12
4/7/2014,166,76,52,34,21,10
4/8/2014,174,113,65,55,29,15
4/9/2014,194,115,92,54,23,16
4/10/2014,191,99,82,45,32,11
4/11/2014,163,77,61,33,23,12
4/12/2014,152,31,47,18,6,9
4/13/2014,130,57,47,21,7,9
4/14/2014,154,75,89,31,16,10
4/15/2014,154,66,47,33,21,12
4/16/2014,157,33,41,22,7,9
4/17/2014,110,47,53,31,9,11
4/18/2014,137,65,42,29,21,12
4/19/2014,151,24,61,16,7,7
4/20/2014,88,65,55,28,12,10
,,,,,,
1/1/2015, ,109,29,43,31,20
1/2/2015,156,127,24,46,43,19
1/3/2015,178,181,37,52,34,24
1/4/2015,222,160,36,68,52,27
1/5/2015,224,153,22,56,40,22
1/6/2015,247,140,19,36,39,25
1/7/2015,324,125,38,43,21,23
1/8/2015,212,154,39,67,27,23
1/9/2015,243,167,28,69,31,29
1/10/2015,285,222,41,78,34,41
1/11/2015,309,219,36,77,35,34
1/12/2015,302,131,43,54,29,24
1/13/2015,234,94,32,37,21,22
1/14/2015,187,80,32,36,13,13
1/15/2015,191,114,22,49,21,22
1/16/2015,203,112,38,46,18,19
1/17/2015,201,121,57,48,35,22
1/18/2015,211,129,51,45,25,14
1/19/2015,200,126,51,55,35,20
1/20/2015,215,143,29,59,34,20
1/21/2015,193,203,45,47,30,35
1/22/2015,214,110,43,41,48,33
1/23/2015,186,102,31,48,46,21
1/24/2015,173,211,35,55,36,33
1/25/2015,193,160,30,36,20,36
1/26/2015,312,138,24,36,23,57
1/27/2015,336,80,48,19,13,26
1/28/2015,198,21,40,16,10,11
1/29/2015,120,42,41,21,22,13
1/30/2015,148,64,49,26,20,14
1/31/2015,174,89,54,27,19,17
2/1/2015,205,88,47,35,14,18
2/2/2015,208,73,29,31,16,18
2/3/2015,189,125,39,29,14,17
2/4/2015,207,188,68,49,25,23
2/5/2015,260,172,42,52,36,24
2/6/2015,255,134,56,57,31,19
2/7/2015,210,215,34,70,32,22
2/8/2015,230,137,52,40,35,26
2/9/2015,256,84,51,36,22,17
2/10/2015,160,96,65,48,38,15
2/11/2015,177,117,57,43,40,17
2/12/2015,218,168,53,58,48,25
2/13/2015,253,202,83,72,52,33
2/14/2015,236,123,47,51,46,21
2/15/2015,203,89,39,36,41,21
2/16/2015,187,135,35,43,32,26
2/17/2015,208,155,92,47,24,21
2/18/2015,222,129,57,32,23,24
2/19/2015,200,112,41,25,20,20
2/20/2015,196,56,27,14,10,16
2/21/2015,134,67,53,19,13,14
2/22/2015,163,99,45,27,9,19
2/23/2015,206,87,40,24,13,20
2/24/2015,191,83,23,26,11,16
2/25/2015,177,69,18,26,13,18
